"year"	"plothalfid"	"plothalfname"	"plotid"	"plotname"	"inv"	"variable"	"value"
"2011"	"10"	"LL_B_N"	"5"	"LL_B"	"N"	"litter"	231.25
"2011"	"11"	"LL_C_I"	"6"	"LL_C"	"I"	"litter"	107.55
"2011"	"12"	"LL_C_N"	"6"	"LL_C"	"N"	"litter"	188.8
"2011"	"13"	"CEB_A_I"	"7"	"CEB_A"	"I"	"litter"	34.95
"2011"	"14"	"CEB_A_N"	"7"	"CEB_A"	"N"	"litter"	26.15
"2011"	"15"	"CEB_B_I"	"8"	"CEB_B"	"I"	"litter"	85.99
"2011"	"16"	"CEB_B_N"	"8"	"CEB_B"	"N"	"litter"	221.51
"2011"	"17"	"CEB_C_I"	"9"	"CEB_C"	"I"	"litter"	72.55
"2011"	"18"	"CEB_C_N"	"9"	"CEB_C"	"N"	"litter"	149.94
"2011"	"19"	"G48_B_I"	"10"	"G48_B"	"I"	"litter"	88.69
"2011"	"20"	"G48_B_N"	"10"	"G48_B"	"N"	"litter"	111.83
"2011"	"21"	"G48_C_I"	"11"	"G48_C"	"I"	"litter"	95.4
"2011"	"22"	"G48_C_N"	"11"	"G48_C"	"N"	"litter"	113.83
"2011"	"23"	"G48_D_I"	"12"	"G48_D"	"I"	"litter"	145.16
"2011"	"24"	"G48_D_N"	"12"	"G48_D"	"N"	"litter"	175.09
"2011"	"25"	"G13_A_I"	"13"	"G13_A"	"I"	"litter"	152.04
"2011"	"26"	"G13_A_N"	"13"	"G13_A"	"N"	"litter"	271.55
"2011"	"27"	"G13_B_I"	"14"	"G13_B"	"I"	"litter"	103.28
"2011"	"28"	"G13_B_N"	"14"	"G13_B"	"N"	"litter"	117.23
"2011"	"29"	"G13_C_I"	"15"	"G13_C"	"I"	"litter"	141.77
"2011"	"30"	"G13_C_N"	"15"	"G13_C"	"N"	"litter"	187.32
"2011"	"31"	"G13_D_I"	"16"	"G13_D"	"I"	"litter"	141.78
"2011"	"32"	"G13_D_N"	"16"	"G13_D"	"N"	"litter"	312.19
"2011"	"33"	"K7_A_I"	"17"	"K7_A"	"I"	"litter"	91.51
"2011"	"34"	"K7_A_N"	"17"	"K7_A"	"N"	"litter"	92.97
"2011"	"35"	"K7_B_I"	"18"	"K7_B"	"I"	"litter"	118.47
"2011"	"36"	"K7_B_N"	"18"	"K7_B"	"N"	"litter"	286.22
"2013"	"1"	"G2_A_I"	"1"	"G2_A"	"I"	"total"	40.56
